Review,sentiment,topic
"ужасный телефон,у меня он чуть больше недели, обращалась аккуратно,носила в чехле, не разу не падал,и с чего такие клюки понять не могу.,",Отрицательный,Качество
"Я так понимаю, есть с 2мя симками и с 1ой. Вот у меня с 2мя. Работает без нареканий.Вообще Алькатель прогрессирует, полгода назад брала маме OT993 так там глюк на глюке, тут - все подозрительно хорошо. Экран не понравился, цвета не яркие. После HTC это ощущается. Но что вы хотели за такую цену? В целом - за такие деньги (6000р) это супер-телефон. Скайп не тормозит, камера нормальная, огромный экран, стильный дизайн, и даже сборка не ужасная:-) Еще одно замечание - на сайте есть офигенные чехольчики-флипы, а в России они не продаются...,",Позитивный,Оценка качества телефона
"Знал бы, что так с ним будет, взял бы другой. С не терпение жду, когда же он сдохнет.,",Отрицательная,Неудовлетворенность продуктом
"-> В дополнительных настройках // About phone - Advanced settings // широкий выбор настройки визуальных эффектов. Можно включить очень красивые переходы без последствий для производительности. -> Легко царапается, если носить в кармане с ключами или мело",Нейтральный,Функциональные возможности устройства
"Ребята, это бомба ! Купил Маме на др вместо умершего афона 3г, юзал сам сегодня полдня и покупкой доволен вполне! Соотношение цена/качество великолепное, да дисплей не очень контрастный и сочный, да, толстоват корпус, но за эту цену даже на это можно закрыть глаза, великолепный смарт! В сравнении с айфоном как и все известные мне андроиды жаден до батареи необходимо выключать вайфай и 3г чтобы держать заряд в тонусе. Но, повторюсь, за эту цену ( 6500 ) это, наверно лучшее предложение на рынке.,",Позитивный,Оценка смартфона
"Камера при солнце хорошо. Не Нокиа конечно, но и не Китай фуфлыжный. Видео НD пишет.  За такие деньги хороший выбор.,",Позитивный,Камера устройства
"даже свою стоимость оправдывает только на половину, брать не советую, потом обменять или сдать не получится,",Отрицательный,Стоимость и обмен/возврат
"Уже год использовал но могу сказать не так лучше как я ожидал. Батарея еле еле хватает за 4-5 часов, если включенным мобильный данных. Один раз обновил ПО, больше не выйдут обновления, из за этого телефон чуть тормозит.,",Отрицательный,Технические характеристики телефона
"Отличный смартфон! Тяжёлые игры тянет на УРА! Жду обновление до андроида 4.2.2,",Позитивный,Технические характеристики смартфона
"Пользуюсь 4 дня. Нужен, в основном, для разговоров и в машине (Яндекс пробки). Пока все замечательно. Звук при разговоре очень чистый, глюков и зависаний в интернете нет. До этого использовал iPhone3G и Galaxy S. Замучили зависаниями при смене покрытия 3G и обратно. Корпус собран нормально, скрипов нет, задняя крышка темно-серого цвета, матовый пластик, не скользкий. Порадовал экран, достаточно четкий и большой по сравнению с размерами корпуса.В руке лежит удобно.Снимки качеством на 5Мп не тянут, но лист А4 отснял с автофокусом замечательно, все буквы видно, а это для меня важнее. Экраны меню при перелистывании, живые обои и видео не тормозят.При активном использовании батареи на сутки хватает.Если с надежностью будет все нормально, то за такую сумму лучше аналогичный телефон найти трудно.,",Позитивный,Опыт использования телефона
"Честно сказать брал его для игрушек, для общения в интернете! И не жалуйтесь на батарею, вы в настройках сбавьте яркость.. Все андроиды жрут батарею ведь из за яркости почти. У меня стоит 1/4 и вполне нормально. Сижу в интернете общаюсь, батареи вполнее хватает с 9 утра и до 10 вечера... Подойдёт для тех кто любит общатся в инете. Цена идеальна брал за 3990 Уже месяц... Всё суппер ),",Позитивный,Опыт использования устройства
"Долго хотел андроид, но очень не хотел переплачивать за имя, самсунг, лыжи, сони - всё было не той цены, которую я готов отдать. И решил так - беру миниму того что мне надо, выбор пал на этот девайс, долго штудировал 4пда, а после решил - беру. два месяца с этим телефоном полностью перевернули мои представления о имени компании. Я не ожидал такого от него, я доволен не просто на 100%, а 1000%. Хочу заметить, возможность купить телефон есть, но просто принципиально не хотел переплачивать, хотя по работе очень часто настраиваю разные девайсы, сравнить в работе и пользовании есть с чем, там же сг3, сг4, яблоки 4, 5, соньки последних выпусков. Обо всех ""глюках, подтормаживания, задумчивостях"" и ещё разных кратковременных недочётах читал, но не один из них не проявился ни разу, сразу на 4.1 и всё ок. Выбор у каждого свой, выбирайте, что ближе по душе, тем более, что если это андроид, его всегда можно настроить под себя, надеюсь мой отзыв поможет в выборе!,",Позитивный,Оценка качества устройства
"я купил этот телефон месяц назад за время пользования только 2 раза глючил пришлось перезагружать все игры и программы ловит не как мой старый телефон SAMSUNG gt-c3322 то телефон вообще был тупойский. неделю назад прошивал на андроид 4.1 сейчас все норм. всем рекомендую взять этот телефон, отличный смартфон за хорошие деньги.,",Позитивный,Опыт эксплуатации телефона
"в общем трубкой доволен за такие деньги),",Позитивный,Цена-качество
"очень хорошая модель те кто пишут про то что крышка плохо держится друзья это надо с ним нормально обращаться привыкли к кирпичам уронил на асфальт сломал асфальт а так цена качество всё в норме но конечно что оперативки всего лишь 512мб очень раздражает а так 5 не зря купил доволен.,",Позитивный,Оценка устройства
"Все написано в других отзывах. Телефон отличный. Я лишь хочу добавить о чехле. Просто на него нет раскрывающихся, а сумки подходят далеко не все. Искал недели 3 наверно подходящий вариант. Не берите чехлы, в которые он входит очень туго, вытягивающий ремешок будет стирать покрытие корпуса и царапать стекло. А я нашел идеально подходящую сумку. Чухол Gresso Design Эдинбург (размер 3XL). Хорошая натуральная кожа, мягкий, не царапающий ремешок. Сидит достаточно плотно телефон, но не слишком, и не выпадает сам. Помещается полностью, как раз.  Может кому сгодится, лично я долго искал сумку, видимо причина в том, что бренд Alcatel не так популярен, как другие.,",Позитивный,Чехол и сумка для телефона
"К сожалению я стал владельцем этого произведения маркетинга за 70к. 256гб. Причиной покупки послужило сильное утомления глаз при пользовании моим Самсунгом ноутом 9. Ноут 9заменил мне планшет, компьютер, смартфон, фотоаппарат и т.д. Короче все в 1, поэтому за ним проводил очень много времени. Чудовищный ШИМ во всех режимах на ноуте вынудил сменить смартфон. Поиски чего-то более или менее нормально привели к неутешительным итогам. На сегодняшний день не осталось нормальных производителей с IPS экранами и топовой начинкой. Остались 1. Lg g7 2. Сяоми не помну как точно модель называется 3. Asus дзенфон 6 4. Honor mate 20pro 5. Огрызки 11, XR  Это все что попало в мой ракурс. Китай и асус отпали из за отсутствия пыле влагозащиты. Lg g7 меня не устроил камерой ( ее там на 2019 год просто нет, качество съемки видео отстой полный) по сравнению с ноут 9 и iPhone 11.  В итоге решил взять официальный 11 огрызок. Основные критерии при выборе это IPS экран и камера.  Самое интересное по итогам пользования этим «чудом» маркетинга. В сравнении с ноут 9.  Итоги.  Это просто телефон с функцией камеры и плеера не более. Учитывая все косяки и прелести от удобства ему цена не более 500$. Причина почему его не продал и не выбросил экран IPS и камера (она лучше чем у конкурентов с ips матрицами) . На сегодня альтернатив не увидел. Жду когда решат вопрос с ШИМом в амаледах. DcDimming это полумера, которая не решает проблему, а маскирует и ускоряет выгорание матрицы (срок жизни у которой максимум год при интенсивной эксплуатации). В моём старом ноуте 8 матрица выгорела за 1 год.,",Отрицательная,Оценка качества смартфона
"Отличное устройство. Всё по-эпловски. Мимимишные анимации, щенячий восторг от шрифтов, плавности, законченности ОС, упаковки, от всех отточеных мелочей системы. Кнопка включения фонаря с таптик-откликом, Проявляющиеся уведомления после распознавания лиц - меджик! Это всё еще тот самый Айфон. Возможно, фанатам продвинутых андроидов будет многого не хватать кнопок и интеграции с гуглом. Тут обрезанный Хром, да и вообще все гугл-сервисы работают не ахти как. Зато жесты без задержек и откалиброваны настолько эргономично, будто ты их всю жизнь знал. Работа с системой, звонилкой, клавиатурой, сообщениями - все сделано удобно людьми для людей. В отличии от Андроида, не надо заставлять себя привыкать к чему-то постоянно. Просто расслабляешься, за тебя всё продумали. Так же вероятно многим будет не хватать ощущения ""лакшери"" - чтоб его почувствовать, придется выложить дополнительно 25-30 тысяч за про-версию. Там комплектация побогаче, сталь, зум, олед, и ощущение богатства точно присутствует )),",Позитивный,Оценка устройства iPhone
"Выбор между Сяоми Ми10 и Айфон11 закончился в пользу Айфона. Хотя рядом с ре Стори стоял лоток с Сяоми с Ми10. В Ми10, пишут, камеры с урезанным функционалом и только Ми10про имеет полный пакет, но его нет в продаже. Защита от пыли и влаги тоже плюс. Цена, ну почему у качественного изделия должна быть низкая цена? Не в обиду другим брендам в Айфон верю больше!,",Позитивный,Сравнение смартфонов
"доволен,",Позитивный,Не указана
"Выбирала долго телефон и пришла к выводу что данная модель по соотношению цены и качества самая лучшая. Не увидела смысла переплачивать 50000? за третью камеру с возможностью оптического зума.,",Позитивный,Цена-качество телефона
"Отличный телефон, для тех, кому нужен действительно телефон а не понтофон, кому он нужен для того чтобы звонить, отправлять смс, сидеть в аське, выходить в интернет это отличный выбор! лишнего ничего, свои деньги полностью оправдывает.,",Позитивный,Оценка функциональности и цены телефона
"Купили этот телефон вчера,в целом я конечно в восторге от него позволю себе его сравнить с тем же филькой только модель Х830. 830 однозначно громче, тяжелее, звук качественней. Х703 утупает ему только лишь в качестве звука и в камере, и КУДА ДЕЛИ ФОНАРИК?!?!?! зачем его убрали, без него как без рук))). Опять же по сравнению с 830, с 703 меня лучше слышно собеседнику, гарнитура лучше, не как в бочке,",Смешанный,Недостатки модели телефона
"модель не плохая для звонков музыки просмотра фильмов (фильм более 6гб не глючит) цена для телефона оптимальная брал за 4т.р.,",Позитивный,Цена-качество
"Субъективно: Рекомендуется владельцам телефонов Philips как достойное продолжение линейки. Рекомендуется всем, кому нужен надежный, долгоиграющий и стильный аппарат, но в то же время чтобы можно было иногда посидеть в интернете, посмотреть фильм и почитать в дороге. И при этом не выбрасывать кучу денег (купил за 5 тыс. руб), чтобы купить через год новую игрушку. PS. Касаемо отзывов относительно других телефонов с пометкой ""такого ужаса я ещен не видел"": хотите все и круто - берите и платите за IPhone 4 и приложения для него, хотите ковыряться и настраивать - берите HTC с Android, привыкли к Nokia - сидите уже на своем Nokia :-)  Насчет java приложений, которые не устанавливаются. Лечиться это достаточно просто: 0. Скачиваем установочный файл .jar приложения. Именно jar. Если нет jar, то открываем файл jad и ищем там строчку с ""jar"" - это и будет ссылка на jar, который надо скачать. 1. Открываем файл jar архиватором. 2. В папке META-INF открываем файл MANIFEST.MF. 3. В этом файле удаляем все(!) строчки, за исключением следующих: MIDlet-Vendor: MIDlet-Version: MIDlet-Permissions-Opt: MIDlet-Name: MIDlet-Info-URL: MIDlet-1: MicroEdition-Configuration: MIDlet-Icon: /i.png MIDlet-Description: MIDlet-Permissions: MicroEdition-Profile: Никаких MIDlet-Touch-Support, Nokia-MIDlet-On-Screen-Keypad и проч. быть не должно! Иначе при установке выдаст ""Сбой установки"". 4. Сохраняем изменения в файле MANIFEST.MF, обновляем архив. Приложение готово к установке.  Если и в этом случае приложение не ставится, то значит оно просто не подходит.  PS. Если хотите установить новую opera mini, следует предварительно переименовать MIDlet-Name с Opera Mini на Opera Mini 5 (тк предустановленная opera mini неудаляема).,",Позитивный,Оценка телефона Philips и советы по настройке Java-приложений
"Сколько людей - столько мнений. x806 не взял осознанно, у него (если мне не показалось) слишком мелкий шрифт. Да и толстый он и тяжелый. В принципе x703 доволен, батарея не самая крутая (так от и легче x806 в полтора раза почти), две симки мне не нужны, фотоаппаратов у меня два - мыльница и зеркалка со внешней вспышкой, так что вспышка в телефоне тоже не нужна. Проработал с одной зарядки 8 дней, индикатор зарядки нелинейный, после 50% начинает двигаться значительно шустрей. Опера под Явой запустилась без проблем, поставил Мэйл.ру агент - все работает. Так что кому нужна просто достаточно долгоиграющия звонилка с некоторыми приятностями - вполне. Дороговата, правда. PS Добавляя после пары месяцев эксплуатации. Не разочаровал. Сделан добротно, уже падал :) практически без последствий, даже без царапин. Батарея раскочегарилась, если мало пользоваться, держит 2 недели. PPS После 2 лет эксплуатации. Не разочаровал. Сделан очень добротно! Батарея не села, корпус выглядит почти как новый (чуть облезла металлизация).,",Позитивный,Эксплуатационные характеристики и качество устройства
"Очень хороший, пусть и не идеальный аппарат. Традиционная для филипса ""вечная"" батарейка + очень красивый дизайн и богатый функционал. Почти все неприятности так или иначе обходятся. Многие на браузер жаловались, мол невозможно интернетом пользоваться. Для интернета ОДИН РАЗ переписываем с компьютера Opera Mini и читаем любимые сайты в метро, как на любом другом смартфоне. С аськой и тд тоже самое. В целом - любителям филипсов однозначно стоит брать если приглянулся дизайн, другим возможно придётся пару дней привыкать после нокии или самсунга, интерфейс всё-таки не настолько проработанный и вылизанный. Своих денег аппарат стоит 100%.,",Позитивный,Оценка качества устройства
"в общем, не смотря на мелочи, я телефоном оооооооооооочень довольна.безумно красивый. лучше и придумать за такую цену нельзя!!!!!,",Позитивный,Внешний вид и цена телефона
"В общем-то лучше доплатить и купить что нить получше... Тем более сейчас когда Андроид настолько пошел в массы... Сейчас у меня Флай 255 за 4500р - небо и земля,",Отрицательный,Сравнение качества устройств
"Ему реальная цена - 3000 руб.,",Нейтральный,Цена
"Думал либо X501, либо X710. Однако уже в магазине остановил свой выбор на X703. В целом доволен покупкой, однако хотелось бы еще более длительную работу аккумулятора. Поэтому я и смотрел сначала на X501, где емкость аккумулятора аж 1800 mA, но он очень большой и тяжелый.,",Позитивный,Аккумулятор телефона
"Меня в телефоне интересовал громкий динамик, хорошая батарея, хороший плеер (комфортный хотябы), возможность установить аську. В результате мои ожидания оправдались лишь частично. В магази не вернула в первые же дни, только потому что в первые же несколько дней экран зацарапался.,",Нейтральный с оттенком негатива,Недостатки устройства
"В целом доволен, за 6300 вполне нормальный аппарат. Косяки не такие уж страшные, единственное текст. Ща одну книжку перевел в другую кодировку, читаю, но это заморочно... По поводу зарядки: пользуюсь 2 дня (пара звонков, чтение книги) было 92% щас 85%. Так что на неделю должно хватить точно.,",Позитивный,Работа устройства
"для тех кто пользуется телефоном только как телефоном, плюс иногда слушает музыку и ему нужен красивый классический дизайн - верное решение за сравнительно небольшие деньги. для тех кому нужен многофункциональный аппарат - не самый лучший выбор.,",Позитивный,Дизайн и функциональность телефона
"В общем телефон оправдывает свои деньги и назначение. Для тех кому нужен надёжный и верный друг с которым хоть на край света - это то, что нужно!,",Позитивный,Надёжность телефона
"Совершенно не пользовалась плеером, просмотром видео, так что ничего про это сказать не могу. Иногда слушала радио, нареканий нет. Этот телефон для тех, кто много звонит и не всегда имеет доступ к зарядке, не более того. Но эту фукнцию телефон исполняет на 100% - сигнал отличный, шикарный динамик, батарею долго держит.,",Позитивный,Функциональность телефона
"Нужен был простой долгоработающий телефон с блютус, поддержкой явы и хорошим экраном, чтобы читать тексты. По отзывам и обзорам уже сложилось мнение, что филлипс делает свои телефоны ""топором"", причем не только корпус, но и софт. Заходил в магазины пробовал лазить по меню, вроде - нормально. Но оценил звонки только после покупки... Не могу согласиться с утверждениями типа ""за такие деньги..."". По мне лучше минимум качественного функционала, чем полный, но плохого качества. И вообще, похоже долгая работа ксениумов достигнута не за счет инноваций, а просто уменьшением качества: медленный процессор, соответственно реже выполняющий операции и тем самым экономящий батарею, черно-белые темы, выключение на ночь и тд. Таким способом можно любой телефон сделать долгоиграющим.,",Отрицательный,Качество телефона
"В целом не плохой аппарат, нужна более ёмкая батарея, желательно чтобы при разговоре по одной симке вторая - тоже работала,",Нейтральный,Технические характеристики устройства
"Искал телефон на замену Xenium 9@9R. Выбирал между X806 и X703. После того, как почитал отзывы о них, сделал выбор в пользу Х703 и ничуть об этом не жалею. Это первый тачфон, которым я пользуюсь. В целом отличный аппарат, его достоинства легко перевешивают недостатки. Но если вы постоянно сидите в интернете, лучше возьмите что-нибудь более для этого приспособленное.,",Позитивный,Оценка характеристик телефона
"Брал сенсорный филипс с расчетом подружить его с GPS. Не получается. Может кто научит, как это сделать? В принципе телефоном остался доволен не смотря на трабл с GPS.,",Нейтральный,Функциональность устройства
"Сравнивал два телефона: этот и К700. Внешний вид: Х703 - очень солидный, приятный, смотрится дорого и многообещающе, интересна задняя крышка с мозаичным тиснением, весьма привлекательна решётка, закрывающая лицевой динамик. Качество экрана у них 1:1 по всем параметрам как по описанию, так и по визуальному восприятию идентично. Меню, иконки - идентичны. Комплектация иная, чем K700: вместо резинового голубого стилуса-колечка здесь стилус, как и в X830 - телескопический стилус в треугольном глянцевом корпусе, крепится верёвочкой к телефону. Наушники другие, по внешнему виду дешёвые, с разъёмом mini USB, с глуховатым звуком. Нет в комплекте и переходника на 3.5мм, но в самом телефоне есть разъём. Никаких доп.панелек, карт памяти и прочего. Зарядка, шнур USB/mini-USB, диск и инструкция. Форматы аудио и видео поддерживает те же самые, что и К700. Меню у touch-Филипсов своеобразное, для людей без особых запросов, чтобы просто позвонить-отправить смс. Нет в возможностях ""копировать/вставить/вырезать текст"", нет обучаемого T9, да к тому же он не все простые слова знает, нет строки ""адрес"" в телефонной книге. Порадовала возможность записи радио в режиме онлайн, а так же индикация о пропущенных вызовах/сообщениях - функциональная клавиша на передней панели будет периодически загораться. Жаль только, что ей не назначили функцию ПРИЁМ/ОТБОЙ при вызове - не раз на автомате сбрасывал звонки, нажимая на неё. Интересен момент: официально-заявленное время ожидания Х703 - 720 час. К700 - 850 час. Но аккумуляторы у них одинаковые, 1000мА. Значит что-то доработали :) В целом телефон неплох, но в touch-технологиях я разочарован, в принципе. Touch может быть только iPhone, всё остальное за любые деньги - фуфло. Гораздо понятнее и приятнее нажимать живые кнопки, особенно в наш век, когда надо делать всё быстро и без ошибок.,",Смешанный,Технические характеристики и удобство использования телефона
"Для меня телефон это средство общения. Я не поклонник моды светиться в блогах с бесполезными для общества мнениями, ориентируюсь по карте и памяти лучше любого навигатора, в Интернете присутствую по необходимости и использую более удобные для этого гаджеты, не люблю вставлять бананы в уши, поскольку считаю, что слышать, что происходит вокруг тебя порой полезно для здоровья. Так вот Филипсы открыл для себя давно, началось с модели Х800, такой же лаконичный телефон, но более круглый, этим он мне и не нравился, но в остальном нравилось все. Если подвести итог, то этот телефон не для блоггеров (звучит кстати как секта, жуткое слово), не для любителей фотографировать все подряд и засорять Интернет бесполезными ""шедеврами"". Этот телефон для людей, которым нужна стильная звонилка, а не комп в кармане, который с удовольствием у него отожмут в подворотне гопники-гастарбайтеры. Еще короче, если бюджет 5-6 т.р., если тебе нравится такой дизайн, и тебе нужен только телефон, то этот для тебя.,",Позитивный,Оценка телефона
"Неплохой телефон. Очень порадовал стильным дизайном и строгим меню. Огорчили видео и фото съемка. Ещё столкнулась с такой проблемой, что Блютуз на телефоне передает файлы не на все телефоны, пишет, что произошла ошибка.,",Нейтральный,Функциональные характеристики телефона
"с начала августа сей аппарат находится в моем пользовании. за это время могу сказать с полной уверенностью, что он стоит тех денег( 4000р), которые были за него отданы. При нещадной эксплуатации за весь период пользования у телефона появилась одна царапина на сенсоре размером пол см и все, в остальном он как новый.,",Позитивный,Качество
"купила из-за зарядки в надежде на нормальные звонки и музыку. зарядку держит, но все остальное - звонки, смс, музыка, организация меню, надежность корпуса - швах, на 2ку. после 4х месяцев использования намучилась и покупаю новый. ___заряд___5+ баллов при музыке 4 часа в день и 1,5 часах разговора хватает на 3 дня. ___звонки___ 4- балла с первого звонка связь не устанавливается почти никогда. или странные гудки ,или сообщение, что абонент не в сети или еще что. второй звонок следом - и порядок. слышно нормально ___sms___ 2 балла в 50% случаев проблемы с отправкой смс. после нажатия ""отправить"" сообщение долго висит в ""исходящих"" и блокирует отправку всех последующих сообщений. иногда помогает перезагрузка телефона и принудительная повторная оправка. но чаще приходится перенабирать смс повторно. поэтому с него вынужденно предпочитаю звонить. ___музыка___ 1- балл см. ""недостатки"" тк в комментах ограничение по числу знаков,",Отрицательный,Функциональность устройства
"В общем телефон не для слабонервных, но хотя со временем привыкаешь к этому.,",Нейтральный,Опыт эксплуатации устройства
"При покупке сразу наклеил защитную пленку. Ношу в кармане джинс. В общем большой сенсорный телефон без наворотов. Я доволен. Сменю только на более новый филипс, у меня никогда не было слайдера ))) Мне нравится, тонкий, легкий, строгий.,",Позитивный,Впечатления от покупки
"Выбирал себе в качестве подарка. Офигенно стильный. Xeniumом назван неоправданно. Батарея наверное действительно может держать заряд длительное время только в режиме ожидания. После моего слайдера Nokia, который при постоянно включенном bluetooth держал 3 дня 100%, не сразу понял, что для такого-же времени без подзарядки в Philips эту функцию при неиспользовании нужно отключать. Совсем недавно понял, что изначально Philips планировал использовать его с более мощными батареями (1800mA), и тогда время работы было бы адекватное и индикация батареи отображалась бы корректно. Снизил оценку после использования телефона в течение 3-х месяцев. Удалить встроенную оперу невозможно. Пришлось ее ""обновить"" путем установки еще одной оперы (последней) на сам телефон (при установке на карту так-же тормозит). При наборе СМСок в Т9 или просто в вертикальном положении телефона, достаточно перевернуть телефон в горизонтальное положение, чтобы на экране появилась йцукен-клавиатура и отключился Т9 (удобно при наборе ""трудных"" слов). но возможно это реализовано не только в этом телефоне. Если вы набрали номер на телефоне и потом, пообщавшись, решили добавить его в уже существующий контакт адресной книги, то Вам необходимо запомнить или записать этот номер, войти в адресную книгу найти контакт и там отредактировать его добавив нужный номер. Иначе, из набранных номеров, можно создать только новый контакт.,",Смешанный,Недостатки и особенности эксплуатации
"Спустя 3 месяца эксплуатации начались косяки. Телефон во время разговора отключается. Второй сим картой пользоваться невозможно,",Отрицательный,Неисправности телефона
"брали через интернет магазин № заказа 26309496,",Нейтральный,Доставка и качество товара
"Ронял раз 20 на экране всеголишь одна царапина! Хотя пользуюсь уже 3 года. Лежит в руке как Айфон -похожи по размеру только он больше ! сравниваю с Пятёркой. Тянет Террарию. Хороший. бюджетный телефон,",Нейтральный,Характеристики телефона
"Телефон с хорошими характеристиками, купил несколько дней назад, но учитывая опыт работы с Android устройствами, уже могу его оценить.  Со своей задачей справляется хорошо, сеть ловит на уровне с другими телефонами. Отзывчивость экрана хорошая, все быстро подгружается, благодаря 4-х ядерному процессору. Оперативной памяти хватает на систему и еще 2-3 приложения, желательно больше его не нагружать. У камеры нет автофокуса, что немного расстроило, но фото на улице в солнечный день он сделает превосходными. Так же ему немного не хватает запаса громкости у основного динамика, если поставить монотонную мелодию, можно не услышать что вам звонят. Все необходимые функции в телефоне имеются, все работает стабильно.  И так, сделаю вывод, что этот телефон подойдет для тех, кто хочет познакомится с Android-ом или перейти со старой версии на новую. Для людей, у которых уже были аппараты с похожими характеристиками, советую посмотреть в строну телефонов с большим количеством оперативной памяти, минимум 1024mb, потому что этих 512mb вам скорее всего будет её не хватать.,",Нейтральный,Характеристики и впечатления от использования смартфона
